Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","BEARCO",5279667,"1085160","",300,"","prazo de entrega desse produto é de até 15 dias uteis, após a aprovação do pagamento","",False,135,0,True,0,0,199,179,191.2,0,24/11/2017,24/11/2017 23:59:00,False,False,"","","","129628","","","","","","",0,5256312,,"",,,0,,"","",0,0,,True,False,20,20,20,"","","","joelheira-bearco-7mm-92107790","","",""
"A","BEARCO",5279669,"1085161","",300,"","prazo de entrega desse produto é de até 15 dias uteis, após a aprovação do pagamento  

"A","BEARCO",5292369,"1085443","",150,"","","",False,2,0,True,0,0,60,0,49,0,24/11/2016,25/11/2016,False,False,"","","","129628","","","","","","",0,5292360,,"",,,0,,"","",0,0,,True,False,0,0,0,"","	","","camisa-bearco-sports-masc--90713137","","",""
"A","BEARCO",5292370,"","",100,"","","",False,0,0,True,0,0,60,0,49,0,,,False,False,"","","","129630","","","","","","",0,5292360,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camisa-bearco-sports-masc--89272707","","",""
"A","BEARCO",5292434,"1085441","",150,"","","",False,5,0,True,0,0,60,48,49,0,05/03/2018,10/03/2018,False,False,"","","","129848","","","","","","",0,5292432,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camisa-bearco-sports-fem--11907596","","",""
"A","BEARCO",5292438,"1085442","",100,"","","",False,10,0,True,0,0,60,0,49,0,25/11/2016,25/11/2016,False,False,"","","","129848","","","","","","",0,5292360,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camisa-bearco-sports-masc--66889590","","",""
"A","BEARCO",5386551,"1085217","",300,"","","",False,0,0,True,0,0,49,0,39.2,0,,,False,False,"","","","129628","","","","","","",0,5382381,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","grip-protetor-para-as-palmas-das-maos-63424319","","",""
"A","BEARCO",5386552,"1085218","",300,"","","",False,0,0,True,0,0,49,0,39.2,0,,,False,False,"","","","129629","","","","","","",0,5382381,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","grip-protetor-para-as-palmas-das-maos-10618228","","",""
"A","BEARCO",5386553,"1085219","",300,"","","",False,0,0,True,0,0,49,0,39.2,0,,,False,False,"","","","129630","","","","","","",0,5382381,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","grip-protetor-para-as-palmas-das-maos-97838991","","",""
"A","BEARCO",5471297,"1085271","",0,"","","",False,0,0,True,0,0,60,0,0,0,,,False,False,"","","","129628","","","","","","",0,5471296,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-cinza-bearco-20367068","","",""
"A","BEARCO",5471298,"1085272","",0,"","","",False,0,0,True,0,0,60,60,0,0,,,False,False,"","","","129629","","","","","","",0,5471296,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-cinza-bearco-53173465","","",""
"A","BEARCO",5471299,"1085273","",100,"","","",False,0,0,True,0,0,60,0,0,0,,,False,False,"","","","129630","","","","","","",0,5471296,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-cinza-bearco-85828799","","",""
"A","BEARCO",5471301,"1085274","",0,"","","",False,0,0,True,0,0,60,0,0,0,,,False,False,"","","","129848","","","","","","",0,5471296,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-cinza-bearco-74502200","","",""
"A","BEARCO",5472612,"","",0,"","","",False,0,0,True,0,0,139,0,0,0,,,False,False,"","","","129628","","","","","","",0,5472611,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","moletom-unisex-bearco-56948489","","",""
"A","BEARCO",5472613,"1085304","",0,"","","",False,0,0,True,0,0,139,0,0,0,,,False,False,"","","","129629","","","","","","",0,5472611,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","moletom-unisex-bearco-16161746","","",""
"A","BEARCO",5472614,"1085305","",0,"","","",False,3,0,True,0,0,139,0,0,0,,,False,False,"","","","129630","","","","","","",0,5472611,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","moletom-unisex-bearco-23608035","","",""
"A","BEARCO",5472615,"","",0,"","","",False,0,0,True,0,0,139,0,0,0,,,False,False,"","","","129848","","","","","","",0,5472611,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","moletom-unisex-bearco-84643191","","",""
"A","BEARCO",5607151,"1085159","",300,"
","
","",False,10,0,True,0,0,199,179,0,0,24/11/2017,24/11/2017 23:59:00,False,False,"","","","129858","","","","","","",0,5256312,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","joelheira-bearco-7mm-41987246","","",""
"A","BEARCO",5627649,"1085359","",200,"","","",False,0,0,True,0,0,69,0,0,0,,,False,False,"","","","129628","","","","","","",0,5627645,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-jason-khalipa-feminina-76246279","","",""
"A","BEARCO",5627650,"1085360","",200,"","","",False,0,0,True,0,0,69,0,0,0,,,False,False,"","","","129629","","","","","","",0,5627645,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-jason-khalipa-feminina-67148989","","",""
"A","BEARCO",5627652,"1085361","",200,"","","",False,0,0,True,0,0,69,0,0,0,,,False,False,"","","","129630","","","","","","",0,5627645,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-jason-khalipa-feminina-4943485","","",""
"A","BEARCO",5627684,"1085422","",200,"","","",False,0,0,True,0,0,69,0,0,0,,,False,False,"","","","129628","","","","","","",0,5627683,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-jason-khalipa-masulina-30709475","","",""
"A","BEARCO",5627685,"1085423","",200,"","","",False,0,0,True,0,0,69,0,0,0,,,False,False,"","","","129629","","","","","","",0,5627683,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-jason-khalipa-masulina-65301150","","",""
"A","BEARCO",5627688,"1085424","",200,"","","",False,0,0,True,0,0,69,0,0,0,,,False,False,"","","","129630","","","","","","",0,5627683,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-jason-khalipa-masulina-50059146","","",""
"A","BEARCO",5637748,"1085299","",300,"","","",False,9,0,True,0,0,139,0,0,0,,,False,False,"","","","129628","","","","","","",0,5637745,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","moletom-bear-mode-12752933","","",""
"A","BEARCO",5637749,"1085300","",300,"","","",False,10,0,True,0,0,139,0,0,0,,,False,False,"","","","129629","","","","","","",0,5637745,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","moletom-bear-mode-61391848","","",""
"A","BEARCO",5637750,"1085301","",300,"","","",False,8,0,True,0,0,139,0,0,0,,,False,False,"","","","129630","","","","","","",0,5637745,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","moletom-bear-mode-2274722","","",""
"A","BEARCO",5637769,"1085384","",300,"","","",False,3,0,True,0,0,100,0,0,0,,,False,False,"","","","129628","","","","","","",0,5637764,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","bermuda-masculina-bearco-19820804","","",""
"A","BEARCO",5637770,"1085385","",300,"","","",False,20,0,True,0,0,100,0,0,0,,,False,False,"","","","129629","","","","","","",0,5637764,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","bermuda-masculina-bearco-66056460","","",""
"A","BEARCO",5637771,"","",300,"","","",False,20,0,True,0,0,100,0,0,0,,,False,False,"","","","","","","","","","",0,5637764,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","bermuda-masculina-bearco-5569095","","",""
"A","BEARCO",5646083,"1085315","",300,"","","",False,1,0,True,0,0,25,0,0,0,,,False,False,"","","","129628","","","","","","",0,5646082,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-feminina-brazilian-games-azul-16184634","","",""
"A","BEARCO",5646084,"1085316","",300,"","","",False,9,0,True,0,0,25,0,0,0,,,False,False,"","","","129629","","","","","","",0,5646082,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-feminina-brazilian-games-azul-58199710","","",""
"A","BEARCO",5646085,"1085317","",300,"","","",False,0,0,True,0,0,25,0,0,0,,,False,False,"","","","129630","","","","","","",0,5646082,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-feminina-brazilian-games-azul-31440371","","",""
"A","BEARCO",5646089,"1085282","",0,"","","",False,0,0,True,0,0,25,0,0,0,,,False,False,"","","","129628","","","","","","",0,5646088,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-masculina-brazilian-games-azul-79975527","","",""
"A","BEARCO",5646090,"1085283","",300,"","","",False,0,0,True,0,0,25,0,0,0,,,False,False,"","","","129629","","","","","","",0,5646088,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-masculina-brazilian-games-azul-78835696","","",""
"A","BEARCO",5646092,"1085284","",300,"","","",False,0,0,True,0,0,25,0,0,0,,,False,False,"","","","129630","","","","","","",0,5646088,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-masculina-brazilian-games-azul-21101016","","",""
"A","BEARCO",5646094,"1085285","",300,"","","",False,6,0,True,0,0,25,0,0,0,,,False,False,"","","","129848","","","","","","",0,5646088,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-masculina-brazilian-games-azul-75426882","","",""
"A","BEARCO",5646102,"1085311","",300,"","","",False,9,0,True,0,0,25,0,0,0,,,False,False,"","","","129628","","","","","","",0,5646100,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-feminina-brazilian-games-verde-71867007","","",""
"A","BEARCO",5646103,"1085312","",300,"","","",False,6,0,True,0,0,25,0,0,0,,,False,False,"","","","129629","","","","","","",0,5646100,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-feminina-brazilian-games-verde-58616275","","",""
"A","BEARCO",5646104,"1085313","",300,"","","",False,0,0,True,0,0,25,0,0,0,,,False,False,"","","","129630","","","","","","",0,5646100,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-feminina-brazilian-games-verde-9174747","","",""
"A","BEARCO",5646725,"1085289","",300,"","","",False,4,0,True,0,0,25,0,0,0,,,False,False,"","","","129629","","","","","","",0,5646724,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-masculina-brazilian-games-verde-8431644","","",""
"A","BEARCO",5646726,"1085290","",300,"","","",False,9,0,True,0,0,25,0,0,0,,,False,False,"","","","129630","","","","","","",0,5646724,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-masculina-brazilian-games-verde-19427127","","",""
"A","BEARCO",5646727,"1085291","",300,"","","",False,7,0,True,0,0,25,0,0,0,,,False,False,"","","","129848","","","","","","",0,5646724,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-masculina-brazilian-games-verde-10084171","","",""
"A","BEARCO",5646732,"1085294","",300,"","","",False,5,0,True,0,0,25,0,0,0,,,False,False,"","","","129628","","","","","","",0,5646731,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","brazilian-games-2015-masculina-72269839","","",""
"A","BEARCO",5646733,"1085295","",300,"","","",False,0,0,True,0,0,25,0,0,0,,,False,False,"","","","129629","","","","","","",0,5646731,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","brazilian-games-2015-masculina-32140750","","",""
"A","BEARCO",5646734,"1085297","",300,"","","",False,9,0,True,0,0,25,0,0,0,,,False,False,"","","","129848","","","","","","",0,5646731,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","brazilian-games-2015-masculina-32224673","","",""
"A","BEARCO",5646736,"1085391","",300,"","","",False,18,0,True,0,0,80,64,0,0,05/03/2018,10/03/2018,False,False,"","","","129628","","","","","","",0,5646735,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","shorts-feminino-35573977","","",""
"A","BEARCO",5646737,"1085392","",300,"","","",False,11,0,True,0,0,80,64,0,0,05/03/2018,10/03/2018,False,False,"","","","129629","","","","","","",0,5646735,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","shorts-feminino-94985598","","",""
"A","BEARCO",5646738,"1085393","",300,"","","",False,17,0,True,0,0,80,64,0,0,05/03/2018,10/03/2018,False,False,"","","","129630","","","","","","",0,5646735,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","shorts-feminino-62858218","","",""
"A","BEARCO",5646729,"1085382","",300,"","","",False,4,0,True,0,0,25,18,0,0,05/03/2018,10/03/2018,False,False,"","","","129630","","","","","","",0,5646728,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","brazilian-games-2015-feminina-83144778","","",""
"A","BEARCO",5646730,"1085381","",300,"","","",False,20,0,True,0,0,25,18,0,0,05/03/2018,10/03/2018,False,False,"","","","129848","","","","","","",0,5646728,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","brazilian-games-2015-feminina-39001101","","",""
"A","BEARCO",5657106,"1085365","",200,"","","",False,0,0,True,0,0,60,0,0,0,,,False,False,"","","","129628","","","","","","",0,5657092,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-bear-mode-fem-10163516","","",""
"A","BEARCO",5657107,"","",200,"","","",False,0,0,True,0,0,60,0,0,0,,,False,False,"","","","129629","","","","","","",0,5657092,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-bear-mode-fem-37818545","","",""
"A","BEARCO",5657110,"1085268","",200,"","","",False,0,0,True,0,0,60,0,0,0,,,False,False,"","","","129629","","","","","","",0,5657109,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-bear-mode-masc-75397891","","",""
"A","BEARCO",5657111,"1085269","",200,"","","",False,0,0,True,0,0,60,0,0,0,,,False,False,"","","","129630","","","","","","",0,5657109,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","camiseta-bear-mode-masc-37699527","","",""
"A","BEARCO",5726463,"1085244","",500,"","","",False,5,0,True,0,0,89,71,0,0,05/03/2018,10/03/2018,False,False,"","","","129629","","","","","","",0,5726458,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","calca-legging-lisa-bearco-20299930","","",""
"A","BEARCO",5726464,"1085243		","",500,"","","",False,5,0,True,0,0,89,71,0,0,05/03/2018,10/03/2018,False,False,"","","","129628","","","","","","",0,5726458,,"",,,0,,"","",0,0,,True,False,0,0,0,"","","","calca-legging-lisa-bearco-69273013","","",""
